spec,target_gain_linear,target_ugbw_mhz,target_pm_deg,target_ibias_ma,output_gain_linear,output_ugbw_mhz,output_pm_deg,output_ibias_ma,autockt_reward_penalty,autockt_env_success,rel_gain,rel_ugbw,rel_phm,rel_ibias_max
1,363.0,7.7919688785989205,60.000000073419976,3.7175833821961772,2085.6257819058255,2.5390271063806096,40.08408791068896,0.4230448919262113,-0.7074560092670331,No,0.7035071649719639,-0.5084642158273686,-0.19899179343966455,0.7956614967974269
2,228.0,3.4126265941789784,60.00000008607774,6.86112628512402,1841.2207619115634,0.8770759749905924,40.54359748005586,0.3263388220258406,-0.784590519543904,No,0.7796271870098851,-0.5910784205440226,-0.19351209899988142,0.9091922347696103
3,206.0,5.6588218741857625,60.000000097537416,7.6509867851663,2245.253904351591,2.551131703439495,42.76233334275625,0.40235761416945665,-0.5462701759923525,No,0.8319227562397364,-0.3785271306789986,-0.1677430453133539,0.900076888751301
4,389.0,6.459595923581313,60.000000013076615,9.549084541014775,2384.7520626119403,1.7870256554730102,40.0,0.23886987495294537,-0.7666041813824602,No,0.7195135028516623,-0.5666041812778473,-0.2000000001046129,0.9511910528387297
5,270.0,5.30659704844968,60.00000003705402,7.726633787323678,2290.531008072651,1.402109805937,41.14495190285156,0.40178206831859503,-0.7684190658415372,No,0.7891062446431899,-0.5820029593273432,-0.1864161065141939,0.9011413600253484
6,262.0,1.339560814145532,60.00000005616512,0.2652250775314764,1907.5288340220393,0.3,40.05742484548449,0.33801015781830673,-0.9540175115564641,No,0.7584729035250624,-0.6340483409804508,-0.19931129779007378,-0.12065787278593938
7,257.0,13.819242142423919,60.00000003191159,0.7685724358003952,2246.832183115635,6.0,42.29162520145296,0.2569745689128867,-0.56764437258875,No,0.794714676380425,-0.3945278071802001,-0.17311656540854992,0.49885365033125795
8,235.0,7.583471842798415,60.00000004664726,2.695634243904464,2057.046025169878,2.7457617400237426,40.305778810988656,0.26949340077752304,-0.6646931527427808,No,0.794943035681334,-0.468351312223197,-0.19634184051958392,0.8182247558476179
9,388.0,24.38307834646571,60.000000026747166,0.49428593317817876,1994.8974784904726,6.0,40.0,0.36200884631164837,-0.8050433120482473,No,0.6743460400606142,-0.60504331183427,-0.20000000021397735,0.15447611037094014
10,226.0,14.2806152031666,60.00000002479189,0.6986417099232365,2620.777604546496,6.0,42.82411494177834,0.29486386043941193,-0.575343382488829,No,0.8412239862790386,-0.408301973101569,-0.16704140938726003,0.40641729802927823
11,373.0,17.738017429844668,60.000000009681166,7.913970990031604,2410.203979033606,6.0,45.01347702752794,0.2572620179910261,-0.6371922664003036,No,0.7319635910196461,-0.49448179337365483,-0.14271047302664874,0.9370322648397267
12,389.0,4.030707831001814,60.0000000290212,5.115444982321778,1850.3456512406149,0.9518153196506743,41.71316105373023,0.43572742858376357,-0.79772675174288,No,0.6525770822521383,-0.617938425624363,-0.17978832611851703,0.8430142693000287
13,339.0,21.843068734310656,60.00000003841498,6.322849890999704,2237.683763720388,6.0,43.27833855248519,0.26622004162451307,-0.7309217233514423,No,0.7368710861820861,-0.5690130238692923,-0.16190869948215,0.9191934387260369
14,222.0,12.781088668570693,60.00000006153775,5.060384758520045,2005.980406002952,3.9238836831308723,41.92020005770276,0.4244557209006192,-0.7076054111598284,No,0.8007163802681074,-0.5302136872161676,-0.17739172394366093,0.8452258648202464
15,351.0,21.94527363996483,60.00000002482703,4.212776744316479,2005.8134701407105,6.0,42.57988633786097,0.22741228258766477,-0.7404092571662496,No,0.7021401952704861,-0.5705892826599961,-0.16981997450625355,0.8975663958404833
16,308.0,14.777541271031973,60.000000086530754,7.047925322372812,2146.440107270287,6.0,40.0,0.2954048216266342,-0.6224533197127027,No,0.7490262654300063,-0.42245331902045663,-0.20000000069224605,0.9195447253946435
17,208.0,12.265526678332245,60.00000001596997,0.9160353380539944,2366.3428169722315,6.0,47.35079905368821,0.3704275922566437,-0.46085521735897167,No,0.8384053602894772,-0.3430246928365236,-0.11783052452244806,0.4241146269683842
18,207.0,11.571251155264246,60.000000032743586,5.411991679093153,2136.0172660732687,4.71152919018003,42.51595511555822,0.30869131266727623,-0.59183639471107,No,0.8233047592116832,-0.4212868944709116,-0.17054950024015839,0.8920788608241749
19,223.0,5.424728089361961,60.0000000577687,6.1988658511008055,1778.2794100389228,2.994850498057459,40.0,0.4281569598362051,-0.48859848149957813,No,0.7771425630210598,-0.2885984810374285,-0.2000000004621496,0.8707845220844602
20,255.0,2.233041212405868,60.00000003127149,2.846930583772145,2113.039336212876,1.0130899454636164,45.37739079156101,0.23820981713740869,-0.5145811971137368,No,0.7846319559810921,-0.37581699802386775,-0.13876419908986914,0.845576028198146
21,259.0,23.58552632243448,60.00000007631214,3.168078167604755,2132.6080975182513,6.0,43.95251870753749,0.20486918559645806,-0.7487694488375929,No,0.7834093300915298,-0.5943962642672174,-0.15437318457037552,0.8785221563556158
22,329.0,12.465500494376505,60.00000004982655,5.161916513123782,2114.108308020787,6.0,40.0,0.21448129162354687,-0.5501394670405002,No,0.7306709662278298,-0.3501394666418878,-0.20000000039861243,0.9202137567148915
23,354.0,20.730775487186328,60.00000005147248,2.111655190182496,2482.154650710973,5.211117835746794,44.98303520733457,0.3914586073267469,-0.7412887389874832,No,0.7503662221584013,-0.598246915066907,-0.14304182392057616,0.6872226842293202
24,206.0,10.616978614046555,60.00000004987597,8.099794801609468,2256.8121991498683,2.6887295680048524,40.981185337187675,0.4181082602713143,-0.7841933993960071,No,0.832711564388784,-0.5958532186010534,-0.18834018079495363,0.9018283591081409
25,343.0,2.777972086135355,60.000000030854046,5.410262711605638,1997.8321921941736,1.2400554193327653,43.901882197029316,0.4487873391652236,-0.5376899082819471,No,0.7069418293683926,-0.38275414110770617,-0.15493576717424085,0.846805425699964
26,250.0,16.10669696684796,60.00000000231763,3.9682418793866625,2280.123656733491,6.0,40.641725975727184,0.2561743342578893,-0.6495264567603758,No,0.8023812003538501,-0.4571780660857814,-0.19234839067459444,0.878717284802352
27,383.0,2.2866177830207954,60.00000009452328,6.379513048797242,1981.4745198524988,1.0695250969383876,42.86945085041996,0.2572354459527886,-0.5291733463280848,No,0.6760379553391065,-0.3626462667457143,-0.1665270795823705,0.9224814843725739
28,366.0,4.580742027367724,60.00000005054445,8.361812044929051,2235.4805356924667,2.462545070932677,40.0,0.36724444457407013,-0.5007398292473662,No,0.7186217655842829,-0.30073982884301054,-0.2000000004043556,0.9158570127216638
29,379.0,14.508150330029542,60.000000096668664,6.8424512786211835,2136.7243511740057,6.0,40.0,0.40187424944166084,-0.6148667826679253,No,0.6986951294380617,-0.41486678189457593,-0.20000000077334934,0.8890513001148574
30,339.0,8.292052284213465,60.000000021514445,0.7545393278500285,2172.5857470894066,2.8080056749624807,42.75660650698436,0.31675616700916875,-0.6618637987556005,No,0.7300510242241534,-0.4940556733505663,-0.1678081254050342,0.40864837287344197
31,307.0,24.854034945045285,60.00000003528951,7.016891227894365,2075.6580190414015,6.0,40.0,0.4154181340881977,-0.8110719388027259,No,0.7423046047342428,-0.6110719385204098,-0.2000000002823161,0.8882129056109727
32,256.0,3.842837493075078,60.00000000505404,7.3265879365722615,2217.776735842483,1.3674787952930134,43.56141971488966,0.2696362861667351,-0.6338206573922607,No,0.7930290181075575,-0.4750879909744145,-0.1587326664178462,0.9290078127605582
33,314.0,19.34664268782866,60.00000004948942,8.480034339893685,2114.025541024842,6.0,43.55560462543944,0.44982061710318166,-0.6853622524874246,No,0.7413536268918619,-0.5265645179208549,-0.1587977345665697,0.8992546644331035
34,350.0,15.551623629831107,60.000000088233946,0.6732688458289914,2094.0743539896985,6.0,43.20787854049918,0.2415777776509785,-0.6058993381886675,No,0.7135930014333146,-0.44319740330886437,-0.16270193487980317,0.47187261459840163
35,271.0,19.977779916242067,60.00000006542601,0.9535067040757443,1983.2272426393527,6.0,40.0,0.26630076454303797,-0.7380667622447494,No,0.7595628383208599,-0.5380667617213414,-0.20000000052340805,0.5633724642716332
36,201.0,6.416491289560831,60.000000047058684,4.40138752719959,2541.55028986467,2.811283840899378,45.32897728969973,0.44885567237317847,-0.5299784868755408,No,0.853421101707551,-0.39069086509931605,-0.13928762177622475,0.8149141583610835
37,394.0,13.541740843125227,60.000000053669076,4.588381238741713,1841.569056873427,3.8503478975402885,43.36098036548754,0.33554880034356854,-0.7182096625212859,No,0.6475170393071803,-0.5572299618575942,-0.16097970066369172,0.8637069179781022
38,240.0,11.812347157330102,60.000000084717236,6.127440803831692,2064.046628172239,5.975757693091862,42.948427663185875,0.4131799730120713,-0.49374973367354835,No,0.7916708828150861,-0.3281175545859112,-0.16563217908763714,0.873657260645692
39,378.0,11.62530409646388,60.000000043092776,3.1619716323479095,2403.9571580564466,3.8236865087116363,40.0,0.2588009737502328,-0.704992060158582,No,0.7282488704721237,-0.5049920598138398,-0.20000000034474222,0.8486885838077202
40,308.0,21.64399997982832,60.00000008824557,7.442765739669788,1955.5561259136307,6.0,41.61069787353837,0.35484537758302576,-0.746887432429552,No,0.7278618396301677,-0.5659094194488374,-0.18097801298071456,0.9089861312016695
41,287.0,24.76075025120315,60.00000007275081,7.432515984318364,1899.8574850583386,6.0,45.507994264709076,0.25967148815396146,-0.7472470556215273,No,0.7375229049346637,-0.6098924797996225,-0.13735457582190477,0.9324843579064509
42,271.0,8.329125863664649,60.000000076385675,1.282485768388086,2431.5349088287326,2.95154528427627,40.0,0.3879661231036005,-0.6767075039913216,No,0.7994475489551028,-0.47670750338023626,-0.2000000006110854,0.5354956044173735
43,239.0,15.904655705731566,60.00000003659373,7.1082160104691745,2316.161539489566,6.0,46.217278016619176,0.2663001036876003,-0.5819309559681315,No,0.812927678891297,-0.4521712570510714,-0.12975969891706005,0.9277782841435829
44,255.0,15.631141893883127,60.00000004005816,7.044846151116275,2174.220879772069,6.0,40.0,0.23943670808930798,-0.6452442662557107,No,0.7900561434134171,-0.44524426593524546,-0.2000000003204653,0.934259360127204
45,395.0,18.76214333162908,60.00000005702817,1.721943046260535,2271.5762983480267,6.0,44.78117549780491,0.4042760337788654,-0.6606331650636489,No,0.7037399603043747,-0.5153892843891179,-0.14524388067453098,0.6197230684512776
46,286.0,23.742164807809072,60.00000001946553,9.534860397371506,2093.4947341878637,6.0,40.0,0.22885716760477554,-0.7965323952405201,No,0.7596128321774887,-0.5965323950847958,-0.20000000015572425,0.9531208955847481
47,226.0,5.986909739765232,60.000000055322296,5.277753091011243,2315.89970182643,2.2231233908096444,42.35624517843379,0.35855948972126994,-0.63081336168519,No,0.8221802380026149,-0.45843741299154084,-0.17237594869364914,0.8727680608250897
48,223.0,6.064604687329432,60.00000000735317,7.851572305283085,1988.6875026666048,1.3467175581444435,44.38927439114238,0.22307461692818334,-0.7861217153752987,No,0.7983440248849518,-0.636578328795003,-0.14954338658029576,0.9447469049539335
49,297.0,16.85027529260888,60.000000050425555,7.2355786291252455,1979.002492534969,4.342033721628143,42.61144816036338,0.3853077270869827,-0.759685672978668,No,0.7390161030366825,-0.5902255182565375,-0.1694601547221305,0.8988811250877935
50,224.0,4.7693702411410515,60.000000076440415,1.7529332465045704,2001.4378650152325,1.9441148087679512,40.0,0.4207765983250357,-0.6208329080165074,No,0.7986913015893465,-0.4208329074049841,-0.20000000061152332,0.612849342035326
51,291.0,5.171525159834427,60.00000002797207,1.356613014063136,2324.669241903169,2.37383547071275,43.11897881213175,0.2770645874825334,-0.5344870759263103,No,0.7774948029833715,-0.3707827665380645,-0.16370430938824573,0.6608087333505772
52,288.0,2.80155685362803,60.00000009890907,7.833127401376178,2196.5924696283937,1.6261656375536666,40.58809128655191,0.25251913458493846,-0.4584459724778234,No,0.7681712365142325,-0.2654618076031834,-0.19298416487464004,0.93753891331711
53,354.0,1.0642173424692576,60.00000006803987,2.760768415451532,2113.7569503455597,0.6548477430140287,41.98816877172043,0.23863833458305114,-0.41474208685034447,No,0.713099784846778,-0.23813502054818447,-0.17660706630216,0.8408763102368163
54,267.0,11.812088910824858,60.0000000118811,8.875506121432494,2269.3682074018798,6.0,40.0,0.4203540511658311,-0.5263002414604905,No,0.7894627450219457,-0.32630024136544167,-0.20000000009504879,0.9095610210650715
55,211.0,15.251468682869518,60.000000097508284,7.737159875847285,2452.133040528745,5.408766869950789,45.8728371293283,0.40268732914359723,-0.6098432128989362,No,0.8415400231314711,-0.4764080151823396,-0.1334351977165965,0.9010577670557027
56,386.0,7.990222936744662,60.00000003939037,0.39062688661075456,1778.2794100389228,2.6704955083140933,43.30261149736505,0.41464831283444537,-0.690468482989422,No,0.643299291016165,-0.49900271317044903,-0.1616356865875006,-0.029830083231472338
57,317.0,6.55542962934462,60.00000007948972,8.090367681907962,2176.1869755764465,3.0883595484454003,41.23514854002603,0.20591610867536286,-0.5448723150433702,No,0.7457069982272735,-0.3595132594648587,-0.18535905557851148,0.950359434688315
58,337.0,17.9669399170968,60.00000003390853,2.7926078907114023,1983.4073233302436,5.2495901187649325,48.32536685940699,0.26978124818046784,-0.6555451112905,No,0.7095337558956345,-0.5477713413110331,-0.10777376997946682,0.8238099497191343
59,231.0,17.87170139424921,60.000000093894855,0.7323326923191659,1993.1179907833568,6.0,43.136170868668295,0.442600152755557,-0.660823075728923,No,0.7922772074527941,-0.49731274692926375,-0.16351032879965918,0.24659497840932573
60,296.0,11.896751833769038,60.000000075496516,7.152000157184905,2077.8860716922504,3.8406572185359473,40.0,0.30864093964116107,-0.7119073030358901,No,0.7506198772302555,-0.511907302431918,-0.20000000060397213,0.9172615501441387
61,220.0,17.497238081709824,60.00000001990579,5.8088515796704225,2090.9112916847116,6.0,40.09956308540404,0.26368062653464547,-0.688108112040219,No,0.8095989224756313,-0.489301680551947,-0.19880643148827207,0.9131562855227973
62,341.0,23.17386506758117,60.000000050912256,0.8629933097352149,2288.926550781679,6.0,42.279156960535566,0.37985749978621136,-0.761932518234992,No,0.7406771684185276,-0.5886729450416653,-0.17325957319332663,0.38873194292325436
63,275.0,19.907872639521553,60.00000005000779,4.606457999026333,2098.8725289175636,6.0,40.0,0.2784789112645899,-0.7368203265238515,No,0.7683110641788384,-0.5368203261237892,-0.20000000040006233,0.8859846436591932
64,360.0,16.001392171941326,60.000000004530335,3.6652265656653578,1969.0781955819302,6.0,40.0,0.30209822715480417,-0.6545799690573048,No,0.6908648231022124,-0.45457996902106207,-0.2000000000362427,0.8477068337326329
65,358.0,16.868393028480828,60.00000001370364,5.046139057037695,1984.323511656478,5.005794636597782,44.32206735451428,0.42570138643314565,-0.6925943039675179,No,0.6943206194887874,-0.5423103510637461,-0.1502839529037717,0.8444028509855015
66,292.0,23.40804300269232,60.00000003330407,5.712172669560654,2009.0036270104104,6.0,41.39461000595346,0.2717284292172318,-0.7754432284992548,No,0.7461977055817315,-0.5919483659996895,-0.18349486249956534,0.9091801736921327
67,347.0,11.20333518650108,60.000000047374414,3.7401090007824362,1893.8407058497844,5.1697977100030945,40.493660665621114,0.3182965464773315,-0.562607493965281,No,0.6902948084670671,-0.36850232112793796,-0.19410517283734297,0.8431420700712154
68,249.0,14.069497089053888,60.000000045698854,2.625649202286873,2162.0202711746188,6.0,40.0,0.32886300247880407,-0.6020776933564668,No,0.7934484392545648,-0.4020776929908759,-0.20000000036559085,0.7773825391898247
69,380.0,16.54323336165954,60.00000006062605,1.1187586587165093,1998.7047021192443,6.0,42.84158400969696,0.24978248318164414,-0.6345326636449241,No,0.680498382450374,-0.4676894921201042,-0.16684317152481992,0.634965328356591
70,217.0,22.801874685102543,60.00000005155057,5.78173182140136,1994.1514512426781,5.8785884347895605,46.36812235807554,0.21820705729614226,-0.7182207615337646,No,0.8037221739125604,-0.5900632140969644,-0.12815754743680025,0.9272635732770957
71,211.0,20.83914783160143,60.000000032796585,7.2555058959260785,1890.4526482515173,6.0,41.683215859641,0.364014502777946,-0.7330276824871148,No,0.7991865292082032,-0.5528919146281259,-0.18013576785898885,0.9044521219892372
72,369.0,2.713836084539539,60.000000061306814,2.361203789217185,2118.6378246659365,0.6860904027965788,40.0,0.3062865484856835,-0.7964086844122421,No,0.7033330203125104,-0.5964086839217876,-0.2000000004904545,0.7703560202962574
